,repeat,fuzzy,clear,Recall
repeat,69.0,28.0,327.0,0.16273584905660377
fuzzy,63.0,1532.0,1856.0,0.44392929585627355
clear,10.0,358.0,13356.0,0.9731856601573885
Precision,0.4859154929577465,0.7987486965589156,0.8595147692901731,
