,repeat,fuzzy,clear,Recall
repeat,69.0,66.0,289.0,0.16273584905660377
fuzzy,43.0,2140.0,1268.0,0.6201101130107215
clear,12.0,1104.0,12608.0,0.9186825998251239
Precision,0.5564516129032258,0.6465256797583081,0.8900811860218849,
