,repeat,fuzzy,clear,Recall
repeat,107.0,7.0,1.0,0.9304347826086956
fuzzy,18.0,196.0,15.0,0.8558951965065502
clear,8.0,91.0,1062.0,0.9147286821705426
Precision,0.8045112781954887,0.6666666666666666,0.9851576994434137,
